,,,temp,temp,temp,temp,temp,temp,temp,temp
,,,count,mean,std,min,25%,50%,75%,max
Year,Month,Day,,,,,,,,
2021,8,1,24.0,19.566666666666666,1.4478369673613019,18.0,18.4,19.1,20.6,22.8
2021,8,2,24.0,21.033333333333335,2.878203948821989,18.0,18.55,20.3,23.5,26.0
2021,8,3,24.0,19.858333333333334,1.8153731600265905,17.4,18.4,19.299999999999997,20.9,23.6
2021,8,4,24.0,17.441666666666666,1.4264326640004907,16.2,17.0,17.299999999999997,17.6,23.8
2021,8,5,24.0,19.083333333333332,3.5941579006065876,15.0,15.95,18.1,21.85,25.4
2021,8,6,24.0,20.116666666666667,2.9357861944818366,16.4,18.2,19.3,22.549999999999997,26.4
2021,8,7,24.0,18.925,1.2069544856517096,17.2,18.0,18.8,19.700000000000003,21.6
2021,8,8,24.0,19.98333333333333,2.786873995477131,17.2,17.8,18.8,21.95,25.6
2021,8,9,24.0,20.974999999999998,2.911633338120062,17.4,18.450000000000003,20.5,22.95,26.0
2021,8,10,24.0,22.041666666666668,2.3450070300565184,19.2,20.0,21.6,23.549999999999997,26.8
2021,8,11,24.0,24.09166666666667,2.709069576628569,20.8,21.349999999999998,24.4,26.0,28.2
2021,8,12,24.0,25.65833333333333,1.849539699884616,23.0,24.450000000000003,25.299999999999997,26.75,28.8
2021,8,13,24.0,25.76666666666667,3.020893427688119,22.2,23.0,25.299999999999997,27.85,31.4
2021,8,14,24.0,26.73333333333333,2.3058840927668856,23.8,24.95,26.1,28.15,31.4
2021,8,15,24.0,26.875,1.9217858542421467,24.4,25.4,26.5,28.700000000000003,30.0
2021,8,16,24.0,25.383333333333336,2.1916177599657067,22.6,23.8,24.6,27.2,29.2
2021,8,17,24.0,23.508333333333336,2.843744724473527,20.0,21.2,22.9,25.2,29.0
2021,8,18,24.0,21.375,1.6777961735562517,18.6,19.95,21.6,22.35,24.8
2021,8,19,24.0,20.766666666666666,1.5067000124564385,18.6,19.65,20.8,21.549999999999997,23.8
2021,8,20,24.0,21.899999999999995,1.8881783261398664,19.6,20.4,21.4,22.9,26.0
2021,8,21,24.0,23.175,2.6462853374034556,20.0,21.1,22.2,25.1,28.4
2021,8,22,24.0,23.23333333333333,2.2143144324591986,20.8,21.349999999999998,22.8,24.8,28.0
2021,8,23,24.0,22.366666666666664,2.3313863512598205,19.2,20.450000000000003,21.9,24.700000000000003,26.0
2021,8,24,24.0,19.650000000000002,1.5772844026859971,17.4,18.0,19.9,21.0,22.6
2021,8,25,24.0,19.8,2.4784286747155293,16.4,18.0,19.0,21.1,25.0
2021,8,26,24.0,21.275000000000002,2.907150106054112,18.2,18.95,20.5,23.05,27.0
2021,8,27,24.0,19.083333333333332,1.400517502697599,16.6,18.0,18.8,20.2,21.4
2021,8,28,24.0,17.916666666666668,2.580135936200913,15.0,15.4,17.6,20.0,23.2
2021,8,29,24.0,19.216666666666665,2.8516458507274387,15.4,17.0,18.3,21.0,24.8
2021,8,30,24.0,19.21666666666667,2.4818763355428364,15.0,17.0,19.2,21.2,23.0
2021,8,31,24.0,18.733333333333334,2.147327290552985,15.0,16.95,19.0,20.0,22.8
2021,9,1,24.0,19.46666666666667,2.2150996967781533,16.0,17.8,18.8,21.15,23.6
2021,9,2,24.0,19.508333333333333,1.952460357926727,17.0,17.95,19.1,20.85,23.8
2021,9,3,24.0,19.016666666666666,2.141853457145016,16.0,17.299999999999997,18.6,20.0,23.4
2021,9,4,24.0,19.75,2.0474798931963845,17.2,18.0,19.2,21.1,25.0
2021,9,5,24.0,20.425,2.133225767215708,17.6,19.0,19.7,21.85,25.0
2021,9,6,24.0,19.866666666666667,2.396857846479821,16.2,18.55,19.6,21.8,24.2
2021,9,7,24.0,20.783333333333335,2.0716862836759367,18.4,19.0,20.0,22.35,25.0
2021,9,8,24.0,18.666666666666668,1.3801911230811057,16.6,17.55,18.700000000000003,19.45,21.4
2021,9,9,24.0,18.491666666666667,1.1956139651338924,16.8,17.7,18.1,19.2,20.8
2021,9,10,24.0,18.791666666666668,1.2021418084137294,16.6,17.95,19.0,19.8,20.6
2021,9,11,24.0,19.95,2.6652351229993885,17.0,17.95,18.9,21.700000000000003,25.2
2021,9,12,24.0,20.358333333333334,2.1313226484706758,17.6,18.6,19.8,22.05,24.4
2021,9,13,24.0,21.291666666666668,2.3271398131923506,18.6,19.4,20.4,22.85,25.8
2021,9,14,24.0,20.333333333333332,1.133929936746215,18.6,19.5,20.4,21.05,22.6
2021,9,15,24.0,19.09166666666667,0.621300646027045,18.4,18.6,19.0,19.45,20.6
2021,9,16,24.0,18.183333333333334,1.1969768682762445,16.6,17.0,18.0,19.15,20.0
2021,9,17,24.0,18.841666666666665,2.8148544895076633,16.0,16.349999999999998,18.3,20.95,24.4
2021,9,18,24.0,18.5625,1.9477551180782453,16.1,17.0,17.9,20.2,22.2
2021,9,19,24.0,15.941666666666665,1.5786391130576245,14.0,14.4,16.1,16.45,18.8
2021,9,20,24.0,16.083333333333332,1.7484568765844248,13.8,14.75,15.4,17.6,18.8
2021,9,21,24.0,16.091666666666665,2.0241834997301282,13.4,14.149999999999999,15.8,17.1,20.4
2021,9,22,24.0,16.666666666666668,1.9760889494736527,14.8,15.149999999999999,16.1,17.15,21.4
